YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020  18   2 -121.1109   10.1698   84.4795
2020  18   3 -121.1112   10.1698   84.4797
2020  18   4 -121.1116   10.1698   84.4800
2020  18   5 -121.1119   10.1698   84.4802
2020  18   6 -121.1122   10.1698   84.4804
2020  18   7 -121.1126   10.1698   84.4807
2020  18   8 -121.1129   10.1698   84.4809
2020  18   9 -121.1132   10.1698   84.4812
2020  18  10 -121.1135   10.1698   84.4814
2020  18  11 -121.1139   10.1698   84.4816
2020  18  12 -121.1142   10.1698   84.4819
2020  18  13 -121.1145   10.1698   84.4821
2020  18  14 -121.1149   10.1698   84.4823
2020  18  15 -121.1152   10.1698   84.4826
2020  18  16 -121.1155   10.1698   84.4828
2020  18  17 -121.1158   10.1698   84.4831
2020  18  18 -121.1162   10.1698   84.4833
2020  18  19 -121.1165   10.1698   84.4836
2020  18  20 -121.1168   10.1698   84.4838
2020  18  21 -121.1172   10.1697   84.4840
2020  18  22 -121.1175   10.1698   84.4843
2020  18  23 -121.1178   10.1697   84.4845
2020  19   0 -121.1182   10.1697   84.4848
2020  19   1 -121.1185   10.1697   84.4850
2020  19   2 -121.1188   10.1697   84.4852
2020  19   3 -121.1192   10.1697   84.4855
2020  19   4 -121.1195   10.1698   84.4857
2020  19   5 -121.1198   10.1698   84.4859
2020  19   6 -121.1201   10.1697   84.4862
2020  19   7 -121.1205   10.1697   84.4864
2020  19   8 -121.1208   10.1697   84.4867
2020  19   9 -121.1211   10.1697   84.4869
2020  19  10 -121.1215   10.1697   84.4871
2020  19  11 -121.1218   10.1697   84.4874
2020  19  12 -121.1221   10.1697   84.4876
2020  19  13 -121.1225   10.1697   84.4879
2020  19  14 -121.1228   10.1697   84.4881
2020  19  15 -121.1231   10.1697   84.4883
2020  19  16 -121.1235   10.1697   84.4886
2020  19  17 -121.1238   10.1697   84.4888
2020  19  18 -121.1241   10.1697   84.4891
2020  19  19 -121.1245   10.1697   84.4893
2020  19  20 -121.1248   10.1697   84.4895
2020  19  21 -121.1251   10.1697   84.4898
2020  19  22 -121.1254   10.1697   84.4900
2020  19  23 -121.1258   10.1697   84.4903
2020  20   0 -121.1261   10.1697   84.4905
2020  20   1 -121.1264   10.1697   84.4907
2020  20   2 -121.1268   10.1697   84.4910
2020  20   3 -121.1271   10.1697   84.4912
2020  20   4 -121.1274   10.1697   84.4914
2020  20   5 -121.1277   10.1697   84.4917
2020  20   6 -121.1281   10.1697   84.4919
2020  20   7 -121.1284   10.1696   84.4922
2020  20   8 -121.1287   10.1697   84.4924
2020  20   9 -121.1291   10.1696   84.4927
2020  20  10 -121.1294   10.1697   84.4929
2020  20  11 -121.1297   10.1697   84.4931
2020  20  12 -121.1301   10.1697   84.4934
2020  20  13 -121.1304   10.1697   84.4936
2020  20  14 -121.1307   10.1697   84.4939
2020  20  15 -121.1311   10.1697   84.4941
2020  20  16 -121.1314   10.1696   84.4943
2020  20  17 -121.1317   10.1696   84.4946
2020  20  18 -121.1320   10.1696   84.4948
2020  20  19 -121.1324   10.1696   84.4951
2020  20  20 -121.1327   10.1696   84.4953
